rel,way,tags,region
3388429,252607764,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hofstade', 'old_ref:INS': '41029', 'ref:INS': '41002B', 'type': 'boundary', 'wikidata': 'Q842937', 'wikipedia': 'nl:Hofstade (Oost-Vlaanderen)'}",Hofstade
3388429,252607802,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hofstade', 'old_ref:INS': '41029', 'ref:INS': '41002B', 'type': 'boundary', 'wikidata': 'Q842937', 'wikipedia': 'nl:Hofstade (Oost-Vlaanderen)'}",Hofstade
3388430,252607756,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,252607734,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,30707560,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,30742455,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,121987482,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,301920732,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,253946331,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388430,252607786,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Meldert', 'old_ref:INS': '41039', 'ref:INS': '41002G', 'type': 'boundary', 'wikidata': 'Q724849', 'wikipedia': 'nl:Meldert (Oost-Vlaanderen)'}",Meldert
3388431,252607753,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
3388431,252607736,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
3388431,252607786,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
3388431,252607742,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
3388431,252607792,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
